id	glottocode
1	bali1278
2	bang1368
3	bong1289
4	bann1247
5	bant1286
6	gayo1244
7	geda1237
8	gese1240
9	ghar1239
10	gane1237
11	fiji1243
12	goro1259
13	hanu1241
14	bima1247
15	bint1246
16	bobo1254
17	bone1254
18	cham1312
19	xara1244
20	java1254
21	zaza1245
22	timu1262
23	kiss1246
24	morm1235
25	mota1237
26	motu1246
27	muna1247
28	iban1264
29	kaid1239
30	kair1263
31	ilon1239
32	kamb1299
33	pamp1243
34	lama1277
35	iliu1237
36	cent2292
37	bugh1239
38	nort2845
39	kapp1237
40	amba1265
41	mori1268
42	uabm1237
43	akla1241
44	baba1268
45	west2564
46	matb1237
47	cent2087
48	bugi1244
49	buli1255
50	buru1303
51	bwai1242
52	hawa1245
53	hitu1239
54	hoav1238
55	irar1238
56	kaul1240
57	kayu1243
58	raro1241
59	keii1239
60	kela1258
61	kema1243
62	main1275
63	keri1250
64	nuku1260
65	kosr1238
66	kwai1243
67	lamo1244
68	lauu1247
69	leip1237
70	leti1246
71	kheh1237
72	liku1243
73	loni1238
74	louu1245
75	nucl1460
76	kuma1276
77	yape1248
78	yamd1240
79	muss1246
80	alun1238
81	mono1273
82	male1289
83	emba1238
84	mang1405
85	maor1246
86	mara1404
87	maro1244
88	masi1266
89	meke1243
90	cent2101
91	meng1267
92	plat1254
93	gebe1237
94	misi1243
95	moke1242
96	naun1237
97	naur1243
98	neha1247
99	neng1238
100	ngad1261
101	west2538
102	gela1263
103	nort2836
104	nias1242
105	neha1247
106	biak1248
107	cent2053
108	paam1238
109	pala1344
110	paul1238
111	cent2058
112	tuka1249
113	hano1246
114	reja1240
115	term1237
116	rotu1241
117	rovi1238
118	samo1305
119	sabu1255
120	sout2859
121	seim1238
122	sela1259
123	seng1281
124	sika1262
125	baub1235
126	sobe1238
127	tali1262
128	aust1304
129	mand1440
130	tahi1242
131	tang1348
132	tarp1240
133	tbol1240
134	tetu1246
135	tiga1245
136	tong1325
137	tont1239
138	tsou1248
139	vagh1249
140	mudu1242
141	wamp1247
142	waro1242
143	watu1247
144	west2555
145	wand1267
146	woge1237
147	muna1247
148	wuvu1239
149	anei1239
150	banj1239
151	bela1260
152	puka1242
153	cebu1242
154	ngaj1237
155	tiko1237
156	futu1245
157	ivat1242
158	ngaj1237
159	kili1267
160	kisa1266
161	kowi1239
162	lena1238
163	tuva1244
164	mago1248
165	mais1250
166	maka1311
167	mamb1306
168	mana1295
169	mars1254
170	ambo1250
171	lava1239
172	mina1268
173	tahi1242
174	sons1242
175	chuu1238
176	naka1262
177	paiw1248
178	patp1243
179	pohn1238
180	argu1237
181	sega1243
182	riri1237
183	sang1336
184	owaa1237
185	sasa1249
186	seka1247
187	teop1238
188	bata1289
189	tunj1244
190	ujir1237
191	vari1239
192	woli1241
193	hili1240
194	masi1266
195	buka1261
196	dehu1237
197	band1355
198	wole1240
199	alun1238
200	yaka1277
201	caro1242
202	bunu1267
203	kana1286
204	lioo1240
205	laha1253
206	renn1242
207	asss1237
208	pamo1252
209	chek1238
210	east2447
211	gapa1238
212	jawe1237
213	kwar1239
214	lamp1243
215	maan1238
216	mail1248
217	kapi1249
218	dobu1241
219	moli1248
220	waim1251
221	saaa1240
222	ubir1237
223	toab1237
224	tean1237
225	sapo1253
226	tora1261
227	suau1242
228	sout2869
229	emae1237
230	saka1289
231	numb1247
