code,common,official,abbreviation,official_languages
,Abkhazia,,,"Abkhaz, Russian"
AF,Afganistan,Islamic Republic of Afghanistan,,"Dari, Southern Pashto, Central Pashto, Northern Pashto"
AL,Albania,Republic of Albania,,Northern Tosk Albanian
,Algeria,People's Democratic Republic of Algeria,,"Standard Arabic, Algerian Arabic, Western Algerian Berber"
AS,American Samoa,,,
AD,Andorra,Principality of Andorra,,Catalan
,Andorra,Principality of the Valleys of Andorra,,
AO,Angola,Republic of Angola,,Portuguese
AG,Antigua and Barbuda,,,English
AI,Anguilla,,,
,Argentina,Argentine Republic,,Spanish
AR,Argentina,the Argentine,,
AM,Armenia,Republic of Armenia,,Armenian
AW,Aruba,Country of Aruba,,
AU,Australia,Commonwealth of Australia ,,English
AT,Austria,Republic of Austria,,German
AZ,Azerbaijan,Republic of Azerbaijan,,Azerbaijani
AX,Åland,Åland Islands,,
,Bahamas,Commonwealth of the Bahamas,,English
,Bahrain,Kingdom of Bahrain,,Standard Arabic
,Bangladesh,People's Republic of Bangladesh,,Bengali
,Barbados,,,English
,Belarus,Republic of Belarus,,"Belarusian, Russian"
,Belarus,Byelorussia,,
,Belgium,Kingdom of Belgium,,"Dutch, French, German"
,Belize,,,English
,Benin,Republic of Benin,,French
,Bhutan,Kingdom of Bhutan,,Dzongkha
,Bolivia,Plurinational State of Bolivia,,"Spanish, Central Aymara, Southern Aymara, Araona, Baure, Chiquitano, Canichana, Cavinena, Cayubaba, Chacobo, Moseten-Chimane, Ese Ejja, Eastern Bolivian Guarani, Western Bolivian Guarani, Pauserna, Guarayu, Itonama, Leco, Callawalla, Machinere, Reyesano, Trinitario, Ignaciano, Moseten-Chimane, Itene, Movima, Chacobo, Pacahuara, Karipuna (Pano-Tacanan), Shinabo, Puquina, North Bolivian Quechua, South Bolivian Quechua, Siriono, Jora, Yuqui, Tacana, Toromono, Chipaya, Uru, Zamuco, Ayoreo, Yuracare, Shanenawa, Sharanahua, Yaminahua, Yawanawa, Yora, Wichi Lhamtes Nocten"
,Bosnia and Herzegovina,,B&H,"Bosnian, Croatian, Serbian"
,Botswana,Republic of Botswana,,English
,Brazil,Federative Republic of Brazil,,Portuguese
,Brunei,"Nation of Brunei, the Abode of Peace",,"English, Standard Malay"
,Bulgaria,Republic of Bulgaria,,Bulgarian
,Burkina Faso,,,French
,Burundi,Republic of Burundi,,"Rundi, Rundi-Kitwa, French, English"
,Cambodia,Kingdom of Cambodia,,"Central Khmer, Northern Khmer"
,Cameroon,Republic of Cameroon ,,"English, French"
,Cape Verde,Cabo Verde,,Portuguese
,Canada,,,"English, French"
,Central African Republic,,CAR,French
,Chad,Republic of Chad,,"Chadian Arabic, Standard Arabic, French"
,Chile,Republic of Chile,,Spanish
,China,People's Republic of China,,Mandarin Chinese
,Colombia,Republic of Colombia,,Spanish
,Comoros,Union of the Comoros,,"French, Standard Arabic, Maore Comorian"
,West Congo,Republic of Congo,,French
,Congo,Democratic Republic of the Congo,DRC,
,Congo,Democratic Republic of the Congo,DR Congo,
,Congo,Democratic Republic of the Congo,DROC,French
,Costa Rica,Republic of Costa Rica,,Spanish
,Croatia,Republic of Croatia,,Croatian
,Cuba,Republic of Cuba,,Spanish
,Cyprus,Republic of Cyprus,,"Modern Greek, Turkish"
,Czech,Czech Republic,,"Czech, Slovak"
,Djibouti,Republic of Djibouti,,"Standard Arabic, French"
,Denmark,Kingdom of Denmark,,Danish
,Dominica,Commonwealth of Dominica,,English
,Dominican Republic,,,Spanish
,East Timor,Democratic Republic of Timor-Leste,,"Portuguese, Tetum"
,Ecuador,Republic of Ecuador,,Spanish
,Egypt,Arab Republic of Egypt,,"Egyptian Arabic, Standard Arabic"
,El Salvador,Republic of El Salvador ,,Spanish
,Equatorial Guinea,Republic of Equatorial Guinea,,"Spanish, French, Portuguese"
,Estonia,Republic of Estonia,,Estonian
,Eritrea,State of Eritrea,,"Standard Arabic, English, Tigrinya"
,Ethiopia,Federal Democratic Republic of Ethiopia,,Amharic
,Fiji,Republic of Fiji,,"English, Fijian, Fiji Hindi"
,Finland,Republic of Finland,,"Finnish, Swedish"
,France,French Republic,,French
,Gabon,Gabonese Republic,,French
,Gambia,Republic of the Gambia,,English
,Georgia,Republic of Georgia,,Georgian
,Germany,Federal Republic of Germany,,German
,Ghana,Republic of Ghana,,English
,Grenada,,,English
,Greece,Hellenic Republic,,Modern Greek
,Guatemala,Republic of Guatemala,,Spanish
,Guinea-Bissau,Republic of Guinea-Bissau,,Portuguese
,Guinea,Republic of Guinea,,French
,Guyana,Co-operative Republic of Guyana,,English
