iso;language;latitude;longitude
fsl;French Sign Language;47;3
rsl;Russian Sign Language;56;44
asw;Australian Aborigines Sign Language;-25;135
asf;Australian Sign Language;-30;145
ads;Adamorobe Sign Language;5.834;-0.151
gse;Ghanaian Sign Language;5.55225;-0.30274
bfi;British Sign Language;51.66878;-0.4431
csc;Catalan Sign Language;41.635;-1.97
sgx;Sierra Leone Sign Language;8.483;-13.235
gus;Guinean Sign Language;9.553;-13.674
hps;'Hawai'i Pidgin Sign Language';21.63107;-158.00179
icl;Icelandic Sign Language;64.17306;-20.27305
ssp;Spanish Sign Language;40.03136;-3.70738
uks;Urubu-Kaapor Sign Language;-2.54091;-46.42134
bzs;Brazilian Sign Language;-15.49999;-47.99999
ugy;Uruguayan Sign Language;-34.59671;-56.4509
aed;Argentine Sign Language;-34.79695;-59.17984
isg;Irish Sign Language;53.31499;-6.36541
nsr;Maritime Sign Language;45.04272;-63.88096
psl;Puerto Rican Sign Language;18.45917;-66.09192
vsl;Venezuelan Sign Language;10.32937;-66.76784
bvl;Bolivian Sign Language;-16.38949;-67.57823
xms;Moroccan Sign Language;32.13896;-7.69607
csg;Chilean Sign Language;-32.78099;-70.66979
mre;'Martha's Vineyard Sign Language';43.77025;-70.73891
doq;Dominican Sign Language;18.87983;-71.17218
fcs;Quebec Sign Language;45.99654;-74.87193
csn;Colombian Sign Language;5.33532;-75.44639
prl;Peruvian Sign Language;-11.90078;-76.82131
jcs;Jamaican Country Sign Language;17.99968;-76.93205
ecs;Ecuadorian Sign Language;-1.24999;-79.16665
csf;Cuba Sign Language;22.061;-79.209
bog;Langue de Signes Malienne;12.651;-8.00136
psr;Portuguese Sign Language;38.54741;-8.53355
prz;Providencia Sign Language;13.35;-81.37
ase;American Sign Language;33.81171;-81.61209
csr;Costa Rican Sign Language;9.8943;-84.11803
ncs;Nicaraguan Sign Language;12.2509;-86.33987
hds;Honduras Sign Language;14.622;-87.224
msd;Yucatec Maya Sign Language;20.49999;-88.99999
esn;Salvadoran Sign Language;13.7024;-89.59881
gsm;Guatemalan Sign Language;14.50344;-90.56666
mfs;Mexican Sign Language;19.74999;-98.49999
psd;Plains Indian Sign Language;38.39406;-99.24989
okl;Old Kentish Sign Language;51.11978;0.98365
tse;Tunisian Sign Language;36.49562;10.03348
nsl;Norwegian Sign Language;60.77328;10.24198
psg;Penang Sign Language;5.375;100.254
tsq;Thai Sign Language;13.7837;100.44545
xml;Malaysian Sign Language;2.946;101.36596
kgi;Selangor Sign Language;3.13489;101.61389
bfk;Ban Khor Sign Language;16.911;103.296
hab;Hanoi Sign Language;21.02446;105.8339
hos;Ho Chi Minh City Sign Language;10.78646;106.68073
haf;Haiphong Sign Language;20.8537;106.68927
msr;Mongolian Sign Language;48.68518;107.5282
inl;Indonesian Sign Language;-7.908;112.378
bqy;Kata Kolok;-8.383;115.098
dsl;Danish Sign Language;55.82574;12.31866
ise;Italian Sign Language;42.72915;12.42949
mzg;Monastic Sign Language;41.90262;12.45197
tss;Taiwan Sign Language;25.02062;121.30519
psp;Philippine Sign Language;16.91598;121.51221
csl;Chinese Sign Language;30.90631;121.56875
kvk;Korean Sign Language;37.47179;127.60859
jsl;Japanese Sign Language;36.02213;139.07918
cse;Czech Sign Language;50.01201;14.4774
mdl;Maltese Sign Language;35.90695;14.48244
cds;Chadian Sign Language;12.11145;15.24809
swl;Swedish Sign Language;58.92897;16.11326
asq;Austrian Sign Language;48.11967;16.22499
csq;Croatia Sign Language;45.502;16.796
nbs;Namibian Sign Language;-22.6;17.048
ysl;Yugoslavian Sign Language;45.39123;17.519265
lbs;Libyan Sign Language;29.512;17.573
nzs;New Zealand Sign Language;-39.29225;175.77257
svk;Slovakian Sign Language;48.04632;18.12475
hsh;Hungarian Sign Language;47.122;19.264
lsg;Lyons Sign Language;48.56422;2.36811
pso;Polish Sign Language;52.00414;20.76105
gss;Greek Sign Language;38.05355;23.37624
